sample_id	source_path	domain	condition	split	class_label	class_folder_id	direction_id	block_id	frame_index	has_saturation	n_saturated_px	is_fully_saturated	duplicate_group_id	md5
spad045101	data/SPAD_Electronics/0_HZ/5/direction_2/photo56.png	static	0_HZ	static_train	tactile_switch	5	2		56	True	409600	True	c115ed27b8e2e82d7a736d0e117d4b58	c115ed27b8e2e82d7a736d0e117d4b58
spad029212	data/SPAD_Electronics/0_HZ/5/direction_3/photo141.png	static	0_HZ	static_train	tactile_switch	5	3		141	False	0	False		414124025a6f9b5eb12c320ab1a16b72
spad011142	data/SPAD_Electronics/0_HZ/6/direction_1/photo0.png	static	0_HZ	static_train	oscillator	6	1		0	False	0	False		0bc1aa664d251eaf978ffe98e87ae5fa
spad019142	data/SPAD_Electronics/0_HZ/6/direction_1/photo198.png	static	0_HZ	static_train	oscillator	6	1		198	False	0	False		2a0e784faaa5b4ce624490278609703f
spad023102	data/SPAD_Electronics/0_HZ/6/direction_1/photo52.png	static	0_HZ	static_train	oscillator	6	1		52	False	0	False		0e5c2b0154fa7dd448444ff52e826d91
spad041657	data/SPAD_Electronics/0_HZ/6/direction_2/photo27.png	static	0_HZ	static_train	oscillator	6	2		27	False	0	False		fc16aea00028e484e1f19a8adb4613de
spad017196	data/SPAD_Electronics/0_HZ/6/direction_3/photo125.png	static	0_HZ	static_train	oscillator	6	3		125	False	0	False		36d10c0e9467541c7667da0d2f0b214a
spad011156	data/SPAD_Electronics/0_HZ/7/direction_1/photo0.png	static	0_HZ	static_train	4pin_right_angle_male	7	1		0	False	0	False		59578be6baaba26fc7223c74d79bbdac
spad023136	data/SPAD_Electronics/0_HZ/7/direction_1/photo30.png	static	0_HZ	static_train	4pin_right_angle_male	7	1		30	False	0	False		4a199b2b311f3ae84766bdddc7f2a72e
spad043262	data/SPAD_Electronics/0_HZ/7/direction_2/photo116.png	static	0_HZ	static_train	4pin_right_angle_male	7	2		116	False	0	False		0e98a7349ff3eb89124596da2f811e8a
spad006175	data/SPAD_Electronics/0_HZ/7/direction_2/photo49.png	static	0_HZ	static_train	4pin_right_angle_male	7	2		49	False	0	False		407e16dbf79f7d350bf0d75e245d86fe
spad037701	data/SPAD_Electronics/0_HZ/7/direction_3/photo134.png	static	0_HZ	static_train	4pin_right_angle_male	7	3		134	False	0	False		4be97afdb0fd66885c4a5bf05a46a8f8
spad042453	data/SPAD_Electronics/0_HZ/8/direction_1/photo0.png	static	0_HZ	static_train	5pin_female_housing	8	1		0	False	0	False		73a500189868a0d79bc5ad57b6d672c2
spad029502	data/SPAD_Electronics/0_HZ/8/direction_1/photo2.png	static	0_HZ	static_train	5pin_female_housing	8	1		2	False	0	False		7f17ac3f071366eae877589ef9e2345e
spad003264	data/SPAD_Electronics/0_HZ/8/direction_1/photo43.png	static	0_HZ	static_train	5pin_female_housing	8	1		43	False	0	False		3ab86f640b47a30d17599bdc060b4a8e
spad039572	data/SPAD_Electronics/0_HZ/8/direction_2/photo143.png	static	0_HZ	static_train	5pin_female_housing	8	2		143	False	0	False		96ac5ac2c36c1159f76e3f8e5371e5d4
spad026847	data/SPAD_Electronics/0_HZ/8/direction_3/photo114.png	static	0_HZ	static_train	5pin_female_housing	8	3		114	False	0	False		2f774915070f609466ef8504924ecb61
spad030324	data/SPAD_Electronics/0_HZ/9/direction_1/photo0.png	static	0_HZ	static_train	USB_TypeC_receptacle	9	1		0	False	0	False		a031ada1c6c9225ff7f080b3bc6bff75
spad031316	data/SPAD_Electronics/0_HZ/9/direction_1/photo194.png	static	0_HZ	static_train	USB_TypeC_receptacle	9	1		194	False	0	False		102051eb700ea74a87833b112d51c549
spad015156	data/SPAD_Electronics/0_HZ/9/direction_1/photo35.png	static	0_HZ	static_train	USB_TypeC_receptacle	9	1		35	False	0	False		d79460f9c4d56a7cceaa28a2a0db7850
spad020163	data/SPAD_Electronics/0_HZ/9/direction_2/photo20.png	static	0_HZ	static_train	USB_TypeC_receptacle	9	2		20	False	0	False		0fc9dcb56c225bd1ea3e04608495ebec
spad023349	data/SPAD_Electronics/0_HZ/9/direction_3/photo115.png	static	0_HZ	static_train	USB_TypeC_receptacle	9	3		115	False	0	False		ad7f475100a30a6f65e0ac46fba8c575
spad032838	data/SPAD_Electronics/0_HZ/10/direction_1/photo0.png	static	0_HZ	static_train	humidity_sensor_module	10	1		0	False	0	False		57ebc393a497f92c057cc031681672c9
spad013301	data/SPAD_Electronics/0_HZ/10/direction_1/photo48.png	static	0_HZ	static_train	humidity_sensor_module	10	1		48	False	0	False		d29ea9b54f47880312faaa5f908d8731
spad020833	data/SPAD_Electronics/0_HZ/10/direction_2/photo117.png	static	0_HZ	static_train	humidity_sensor_module	10	2		117	False	0	False		6eac7673098077826ab124d9db96687d
spad004107	data/SPAD_Electronics/0_HZ/10/direction_2/photo74.png	static	0_HZ	static_train	humidity_sensor_module	10	2		74	False	0	False		b8e41352d1d5aee049d4e456d3f4dcf6
spad023394	data/SPAD_Electronics/0_HZ/10/direction_3/photo29.png	static	0_HZ	static_train	humidity_sensor_module	10	3		29	False	0	False		04a83483ea322c8de49fc0112a854bf9
spad017143	data/SPAD_Electronics/0_HZ/11/direction_1/photo0.png	static	0_HZ	static_train	3_pin_right_angle_male_header	11	1		0	False	0	False		7d59587358d32ea2c5b9a836b56b4b6e
spad003748	data/SPAD_Electronics/0_HZ/11/direction_1/photo52.png	static	0_HZ	static_train	3_pin_right_angle_male_header	11	1		52	False	0	False		0e55a0f8a11a600b86deac09c034fb84
spad009586	data/SPAD_Electronics/0_HZ/11/direction_2/photo123.png	static	0_HZ	static_train	3_pin_right_angle_male_header	11	2		123	False	0	False		83696821acbc2b032a3cf2a17490f95f
spad009673	data/SPAD_Electronics/0_HZ/11/direction_2/photo72.png	static	0_HZ	static_train	3_pin_right_angle_male_header	11	2		72	False	0	False		f96a0322de59b26adeddee7d5c5e6315
spad002589	data/SPAD_Electronics/0_HZ/11/direction_3/photo23.png	static	0_HZ	static_train	3_pin_right_angle_male_header	11	3		23	False	0	False		cc969910bf79d1ab42f53ed84b456f4c
spad044113	data/SPAD_Electronics/0_HZ/12/direction_1/photo0.png	static	0_HZ	static_train	straight_male_header	12	1		0	False	0	False		2143db791b476aa4c10aac0ad23b5a7a
spad009404	data/SPAD_Electronics/0_HZ/12/direction_1/photo52.png	static	0_HZ	static_train	straight_male_header	12	1		52	False	0	False		f1d667fe5eb2385ab1a03705caa2e6b4
spad013321	data/SPAD_Electronics/0_HZ/12/direction_2/photo12.png	static	0_HZ	static_train	straight_male_header	12	2		12	False	0	False		b84331796d9ea99aa0f209970a1c908f
spad001242	data/SPAD_Electronics/0_HZ/12/direction_2/photo74.png	static	0_HZ	static_train	straight_male_header	12	2		74	False	0	False		e8263ed732a1ea91edebde4f8a41917e
spad018290	data/SPAD_Electronics/0_HZ/12/direction_3/photo27.png	static	0_HZ	static_train	straight_male_header	12	3		27	False	0	False		56a848818b11ee6143d52a5f24dad2f0
spad028648	data/SPAD_Electronics/0_HZ/13/direction_1/photo0.png	static	0_HZ	static_train	vibration_switch	13	1		0	True	166400	False		78e56528813f6a4d8fa0acc40e5e2c01
spad002405	data/SPAD_Electronics/0_HZ/13/direction_1/photo204.png	static	0_HZ	static_train	vibration_switch	13	1		204	False	0	False		a393ed7a6439a384cc0bfd759c7d6815
spad000676	data/SPAD_Electronics/0_HZ/13/direction_2/photo115.png	static	0_HZ	static_train	vibration_switch	13	2		115	False	0	False		c20038281502811154703fc4ef81f70d
spad028856	data/SPAD_Electronics/0_HZ/13/direction_2/photo73.png	static	0_HZ	static_train	vibration_switch	13	2		73	False	0	False		f3caf059f1cb36423e4e851aa8b0560a
spad000921	data/SPAD_Electronics/0_HZ/13/direction_3/photo179.png	static	0_HZ	static_train	vibration_switch	13	3		179	False	0	False		cad1d6488ba36d12458d4e51fd8e901e
spad019845	data/SPAD_Electronics/0_HZ/14/direction_1/photo0.png	static	0_HZ	static_train	shock_sensor	14	1		0	False	0	False		17c609465d5be89dd2dbd0b051ec0850
spad027102	data/SPAD_Electronics/0_HZ/14/direction_1/photo54.png	static	0_HZ	static_train	shock_sensor	14	1		54	False	0	False		3a45fc378e0d1ff30ee6f0d9e2f55abe
spad014220	data/SPAD_Electronics/0_HZ/14/direction_2/photo123.png	static	0_HZ	static_train	shock_sensor	14	2		123	False	0	False		6341f8b4f8e317c351ac5ceab435aea4
spad031884	data/SPAD_Electronics/0_HZ/14/direction_2/photo8.png	static	0_HZ	static_train	shock_sensor	14	2		8	False	0	False		accbfa021e34038a854be8950529227c
spad014969	data/SPAD_Electronics/0_HZ/14/direction_3/photo26.png	static	0_HZ	static_train	shock_sensor	14	3		26	False	0	False		563cf8366862a455e6c668132c675254
spad021968	data/SPAD_Electronics/0_HZ/15/direction_1/photo0.png	static	0_HZ	static_train	electrolytic_capacitor	15	1		0	False	0	False		6401118558efc35e6a17bc0e8673617a
spad000476	data/SPAD_Electronics/0_HZ/15/direction_1/photo187.png	static	0_HZ	static_train	electrolytic_capacitor	15	1		187	False	0	False		ce73dd2b11ad0df74faf72f8436efb21
spad008850	data/SPAD_Electronics/0_HZ/15/direction_1/photo73.png	static	0_HZ	static_train	electrolytic_capacitor	15	1		73	False	0	False		5d58231478a33398b0b12849f6c885bc
spad035827	data/SPAD_Electronics/0_HZ/15/direction_2/photo4.png	static	0_HZ	static_train	electrolytic_capacitor	15	2		4	False	0	False		7410e24c33240a9e7e94565c29b6bf38
spad032434	data/SPAD_Electronics/0_HZ/15/direction_3/photo127.png	static	0_HZ	static_train	electrolytic_capacitor	15	3		127	False	0	False		c2bfa8a91e520b26940e6133bd4b09d8
spad026654	data/SPAD_Electronics/0_HZ/16/direction_1/photo0.png	static	0_HZ	static_train	slotted_optical_switch_A	16	1		0	False	0	False		174f0f1208275294ca3fe8cad8040871
spad033578	data/SPAD_Electronics/0_HZ/16/direction_1/photo6.png	static	0_HZ	static_train	slotted_optical_switch_A	16	1		6	False	0	False		243e9954328cf17f94801a16f0b665c6
spad020707	data/SPAD_Electronics/0_HZ/16/direction_2/photo129.png	static	0_HZ	static_train	slotted_optical_switch_A	16	2		129	False	0	False		5b4a53b9ed466854e9b2ffe6025fe4e0
spad004453	data/SPAD_Electronics/0_HZ/16/direction_2/photo80.png	static	0_HZ	static_train	slotted_optical_switch_A	16	2		80	False	0	False		dc848f5b74f78c47f13a983b6dec84b7
spad006688	data/SPAD_Electronics/0_HZ/16/direction_3/photo27.png	static	0_HZ	static_train	slotted_optical_switch_A	16	3		27	False	0	False		ac4e799688711688531abeb811bcf6df
spad002551	data/SPAD_Electronics/0_HZ/17/direction_1/photo0.png	static	0_HZ	static_train	slotted_optical_switch_B	17	1		0	False	0	False		41d380ce813bf385a47bdee005a394e3
spad004789	data/SPAD_Electronics/0_HZ/17/direction_2/photo13.png	static	0_HZ	static_train	slotted_optical_switch_B	17	2		13	False	0	False		bd3826b489552af3c4406aad331120c3
spad025121	data/SPAD_Electronics/0_HZ/17/direction_3/photo158.png	static	0_HZ	static_train	slotted_optical_switch_B	17	3		158	False	0	False		000f7fcaf4c335c0aa52050f8466e80a
spad022889	data/SPAD_Electronics/0_HZ/17/direction_3/photo302.png	static	0_HZ	static_train	slotted_optical_switch_B	17	3		302	False	0	False		f55628f81d5ede315aaf68d2bea675cd
spad031338	data/SPAD_Electronics/0_HZ/17/direction_3/photo448.png	static	0_HZ	static_train	slotted_optical_switch_B	17	3		448	False	0	False		9ce3739c7d518bf75030c847ea4c6207
spad015219	data/SPAD_Electronics/0_HZ/18/direction_1/photo0.png	static	0_HZ	static_train	photointerrupter	18	1		0	False	0	False		d7af850d695a59aa4bcfffb0367b9e54
spad021744	data/SPAD_Electronics/0_HZ/18/direction_1/photo56.png	static	0_HZ	static_train	photointerrupter	18	1		56	False	0	False		99f6362a9b443398eb2e77a1317ae53b
spad013075	data/SPAD_Electronics/0_HZ/18/direction_2/photo155.png	static	0_HZ	static_train	photointerrupter	18	2		155	False	0	False		56546e59f62613db6579c67184dec764
spad019873	data/SPAD_Electronics/0_HZ/18/direction_3/photo110.png	static	0_HZ	static_train	photointerrupter	18	3		110	False	0	False		c54519338bedf91dec90665816413544
spad008838	data/SPAD_Electronics/0_HZ/18/direction_3/photo210.png	static	0_HZ	static_train	photointerrupter	18	3		210	False	0	False		56fbdab22e47c9349a98ad40ceaf8fcb
spad008454	data/SPAD_Electronics/0_HZ/19/direction_1/photo0.png	static	0_HZ	static_train	photodiode	19	1		0	False	0	False		bbce666fcf2a2690e4e5493448681962
spad042824	data/SPAD_Electronics/0_HZ/19/direction_1/photo55.png	static	0_HZ	static_train	photodiode	19	1		55	False	0	False		cb021737a63595798cbeeb2c91ef04ee
spad029224	data/SPAD_Electronics/0_HZ/19/direction_2/photo125.png	static	0_HZ	static_train	photodiode	19	2		125	False	0	False		8a335fbc720f0be2b7afb7cf520a14d2
spad041806	data/SPAD_Electronics/0_HZ/19/direction_2/photo74.png	static	0_HZ	static_train	photodiode	19	2		74	False	0	False		0380512545d7d8f0444a2108d3eec7bd
spad025411	data/SPAD_Electronics/0_HZ/19/direction_3/photo26.png	static	0_HZ	static_train	photodiode	19	3		26	False	0	False		ace489071aebbd84bd88d17b8fd51bd4
spad022676	data/SPAD_Electronics/0_HZ/20/direction_1/photo0.png	static	0_HZ	static_train	passive_buzzer	20	1		0	False	0	False		8be4a56783ebb311a988f5be98c68cc9
spad017544	data/SPAD_Electronics/0_HZ/20/direction_1/photo51.png	static	0_HZ	static_train	passive_buzzer	20	1		51	False	0	False		2e167ae511ecd680f3cbd3823dddab6e
spad001691	data/SPAD_Electronics/0_HZ/20/direction_2/photo118.png	static	0_HZ	static_train	passive_buzzer	20	2		118	False	0	False		1c8e2c93d6df1f5be589871fcc6ac504
spad036643	data/SPAD_Electronics/0_HZ/20/direction_2/photo76.png	static	0_HZ	static_train	passive_buzzer	20	2		76	False	0	False		a021143dd0b5d9e0ed6f31ec832f7840
spad034804	data/SPAD_Electronics/0_HZ/20/direction_3/photo30.png	static	0_HZ	static_train	passive_buzzer	20	3		30	False	0	False		5427c96a728f3371e81a0b2e7899121f
